Store_Name,Store_Type,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,X,Y,ObjectId,unique_ID,current_partner,potential_partner
O'Fallon Motomart 3134,Convenience Store,8401 US Highway 50,NA,Lebanon,IL,62254,2525,ST CLAIR,-89.873253,38.583775,-89.873253,38.583775,149120,840162254,No,Unqualified
"Samj, Inc",NA,312 E Jefferson St,NA,Shorewood,IL,60404,7906,WILL,-88.192055,41.521629,-88.192055,41.521629,149124,31260404,No,NA
KROGER J-942,Large Grocery Chain,3311 N STERLING,NA,PEORIA,IL,61604,NA,PEORIA,-89.632019,40.727566,-89.632019,40.727566,149272,331161604,No,Potential Partner
CVS 8634,Convenience Store,910 4th St W,NA,Milan,IL,61264,2318,ROCK ISLAND,-90.572273,41.443863,-90.572273,41.443863,149309,91061264,No,Unqualified
CVS 8746,Convenience Store,300 N Eola Rd,NA,Aurora,IL,60502,9062,DU PAGE,-88.243248,41.757931,-88.243248,41.757931,149366,30060502,No,Unqualified
Walgreens 04151,Convenience Store,355 N Eola Rd,NA,Aurora,IL,60502,9684,DU PAGE,-88.242905,41.759247,-88.242905,41.759247,149370,35560502,No,Unqualified
CASEY'S 6547,Convenience Store,698 E Boughton Rd,NA,Bolingbrook,IL,60440,2202,WILL,-88.040489,41.722946,-88.040489,41.722946,149371,69860440,No,Unqualified
Halal Mart,NA,512 W Boughton Rd,NA,Bolingbrook,IL,60440,1751,WILL,-88.088387,41.708092,-88.088387,41.708092,149373,51260440,No,NA
Panaderia Don Lupe Inc.,Bakery,253 N Schmidt Rd,NA,Bolingbrook,IL,60440,1701,WILL,-88.088181,41.703819,-88.088181,41.703819,149387,25360440,No,Unqualified
WALGREENS  5608,Convenience Store,100 Admiral Weinel Blvd,NA,Columbia,IL,62236,1993,MONROE,-90.212944,38.440651,-90.212944,38.440651,149455,10062236,No,Unqualified
DOLLAR GENERAL  4478,Dollar Store,905 4th St W,NA,Milan,IL,61264,2319,ROCK ISLAND,-90.572174,41.443611,-90.572174,41.443611,149465,90561264,No,Unqualified
CVS 6866,Convenience Store,100 Admiral Trost Rd,NA,Columbia,IL,62236,2537,MONROE,-90.216774,38.443058,-90.216774,38.443058,149491,10062236,No,Unqualified
